year,n_countries,mean_agency,mean_tea,mean_skill,mean_know,mean_opport,mean_fear
2009,55,0.5334406688923196,10.6526916623479,53.755857270810694,50.724641174833735,40.89155665391118,34.98817151161865
2010,59,0.5340350026481427,11.571517848648696,51.271484401481125,48.256673220961346,45.573961696150015,35.44233929463828
2011,53,0.47066274460492186,11.51747863564419,44.27721111644887,38.62810879685764,42.879532981672554,39.974985773581224
2013,70,0.49381821383314756,14.055714459023468,47.47294328265931,41.325310644552495,44.98921078199494,38.79083555045235
2014,70,0.48859794509601223,13.52598388583979,46.393376888097514,40.12646892753168,44.69510064720376,38.68275668691555
2016,65,0.4849842846021716,12.7573089482264,46.3037331261683,41.67619543559629,44.45362484849537,41.489160048385216
2017,54,0.47881841425874255,12.751199365211711,44.825894004506374,40.5468835345465,45.33580833690478,42.974486873634035
2019,48,0.3291977793291577,14.383200963588697,19.323007897478046,18.57444968790249,18.038986045739904,23.468898380398905
2020,41,0.32475662532840033,16.620272455035934,18.473365071763123,17.24018018246665,17.91669784033124,23.31325257924427
