Model,Agency_Coef,Std_Error,p_value,Significance,Country_FE,Year_FE,N
Pooled OLS,0.12643138974782084,0.007086353158899397,6.746532820895467e-71,***,No,Yes,36419
Country FE,0.11469135548508233,0.025415107303895713,7.289182876566734e-5,***,Yes,Yes,36419
