"country","N","tea_rate","agency_mean","nes_inq","gdp_log","neci1","neci2","neci3","(Intercept)","agency_effect"
375,579,7.08117443868739,-0.142507469803044,5.5405,2.00359712230216,4.1381,3.5937,4.24,-0.501969221379012,-0.118546537725977
385,450,12.4444444444444,0.00186040099595323,4.7222,2.71557562076749,3.5119,3.6323,3.57,0.342898073850603,-0.0493656229465453
386,377,7.95755968169761,0.103734655980831,6.75,2.61968085106383,4.4201,4.9023,4.49,-0.332430989460809,-0.0179799830421072
389,574,5.57491289198606,0.132559330907669,4.5556,3.12926391382406,3.8176,3.625,3.84,-0.653151449451611,-0.0954972442409825
421,326,15.9509202453988,-0.123137929052637,5.0303,2.21086261980831,4.0234,3.9278,4.03,0.455559103897052,-0.0143134679334638
502,1421,23.8564391273751,0.340243612369635,4.75,2.67776203966006,3.6582,3.1153,3.56,0.868688464712418,0.044570965406889
507,684,21.7836257309942,0.158282762556295,5.75,2.85777126099707,3.9454,3.9713,3.98,0.596878639105864,0.176884686205861
593,805,34.0372670807453,0.0975820991018367,5.1111,2.3134328358209,4.1789,3.6049,4.19,1.22112482335765,0.0686133384372149
886,567,7.40740740740741,-0.20465681242414,6.4474,2.24324324324324,5.7519,5.7982,5.73,-0.190532665071744,0.00510723358255907
962,676,8.28402366863905,0.118065929062666,5.6944,3.3020030816641,5.3105,4.8299,5.24,-0.078819557013902,0.0446024902772801
966,1288,9.86024844720497,0.0949235977982624,6.4103,2.45174050632911,5.0389,5.2474,5.04,0.155560558789458,-0.256764721638392
971,782,12.2762148337596,0.154518803614481,6.8333,2.04774535809019,5.7865,5.8034,5.84,-0.206719080795278,0.0238371935155153
972,665,7.81954887218045,0.0219144668260798,6.4444,2.01127214170692,4.8115,4.5139,4.81,-0.287030820503087,0.146926189484299
974,1228,9.36482084690554,0.275312530666334,6.5263,1.9795584627964,5.8949,5.9612,5.91,-0.371207253076653,0.122378532312359
