"Context","Predictor","Beta","SE","Pvalue"
"Low Institutions","agency_index",0.630930363244837,0.07353093307521,9.44818262318038e-18
"Low Institutions","age",0.00260331512958258,0.00790484271586032,0.741905001474638
"Low Institutions","gemeduc",0.000170203751313622,5.77829099483775e-05,0.00322357577394149
"Low Institutions","gemhhinc",4.29418090452213e-06,9.18766530302396e-07,2.95599064071998e-06
"High Institutions","agency_index",0.60084698989078,0.0599023787961092,1.12020597528131e-23
"High Institutions","age",0.0271431061142106,0.00674670542576518,5.74213474585332e-05
"High Institutions","gemeduc",0.000182750852781982,5.84297963140916e-05,0.00176180125163154
"High Institutions","gemhhinc",6.36339937220636e-06,7.58239958078129e-07,4.76603954562096e-17
