"NECI_Component","Agency_Beta","Component_Beta","Interaction_Beta","Interaction_Pval"
"Framework",0.619402049158358,-0.0888206129499851,0.0451554239629249,0.343114723056177
"Activity",0.615260774502982,-0.0764754291931351,-0.00877842675618438,0.850275606356244
"Impact",0.619662920452494,-0.101221922300797,0.0401034069250759,0.396182828043394
