"Group","N","Agency_Beta","Agency_SE","Agency_Pval","Significant"
"Men",22257,0.593702974277047,0.0600453523026779,4.71302246979111e-23,"***"
"Women",20949,0.659341121829063,0.0729645864645928,1.61836574930545e-19,"***"
"Interaction",43206,0.148383058194632,0.0874981772168185,0.0899158616605506,""
