model,accuracy,precision,recall,f1,rmse,mae,r_squared,auc
Null (mean),0.8536194936858955,NA,0,NA,0.36142350842028176,0.19663446709833515,-0.045406570746710395,NA
Demographics only,0.8536194936858955,NA,0,NA,0.3605018122858451,0.19586976433605097,-0.04008141307516655,NA
Agency (linear),0.8536194936858955,NA,0,NA,0.35289318722765417,0.23427633646254972,0.0033584727188896712,NA
Agency (quadratic),0.8347364676587419,0.2138364779874214,0.048197650870797894,0.07866468352338456,0.3670846593096282,0.2635459396118158,-0.07841247127352835,NA
Agency (interactive),0.8536194936858955,NA,0,NA,0.35272507066086134,0.23408605219335799,0.004307836704891099,NA
