"model","agency_coef","agency_se","agency_p"
"Baseline",0.111018703802923,0.0249999722570895,9.00657605904445e-05
"Gender",0.128561536744745,0.0289128357214317,8.85535167897669e-05
"Education",0.107925164122021,0.0503385537639834,0.039270401024527
"Combined",0.127491521500865,0.0532539724404961,0.0223254629445389
