"Country_Category","N","N_Countries","Agency_Beta","Agency_Pval"
"High Institutional Quality",21352,20,0.50889686978571,1.82279101323861e-14
"Low Institutional Quality",21854,27,0.712999168958719,6.94703025778862e-28
