variable,coef,se,t_value,abs_t
agency_std,0.04112734270645999,0.0049308121280498335,8.34088617420638,8.34088617420638
age_sq_std,0.07689403211216696,0.06957204275863846,1.105243271049697,1.105243271049697
educ_std,-0.005161092741397075,0.004941017335407226,-1.044540504728205,1.044540504728205
age_std,-0.06287726301492055,0.06959117972666226,-0.9035234531428783,0.9035234531428783
female,-0.003160246556917765,0.009858856893487153,-0.3205489836256221,0.3205489836256221
