"Subsample","N","Agency_Beta","Agency_Pval","Interaction_Beta","Interaction_Pval"
"18-25 years",26012,0.526340556630249,8.43760967012803e-17,0.0491083770457978,0.441600432947217
"18-34 years",43206,0.618214643629688,2.52748055576859e-40,-0.0495399749106149,0.295900499228643
"18-40 years",43206,0.618214643629688,2.52748055576859e-40,-0.0495399749106149,0.295900499228643
