country,n_obs,n_years,mean_tea,mean_agency,sd_agency,beta_agency,se_agency,p_value,n,effect_sig,effect_size,effect_category,NECI18_10_MEAN,NECI18_10_STD,NECI1_MEAN10,NECI1_STD10,NECI2_MEAN10,NECI2_STD10,NECI3_MEAN10,NECI3_STD10
386,393,3,0.08651399491094147,0.4910941475826972,0.2427196539205989,-0.020883204669372567,0.05818830697950734,0.719873054629077,393,Not Significant,Negative,Not significant,NA,NA,4.4201,1.37017,4.9023,1.6609,4.49,1.32
421,387,3,0.18863049095607234,0.4502583979328165,0.26681762104870427,0.08653883253741214,0.07534201598966113,0.25143612623355527,387,Not Significant,Moderate (0.05-0.15),Not significant,NA,NA,4.0234,1.11701,3.9278,1.3978,4.03,1.12
502,1432,3,0.2520949720670391,0.4558310055865922,0.22646959478224213,0.18526000979186724,0.050162634412741276,2.2982205634572783e-4,1432,Significant,Strong (>0.15),Strong positive,NA,NA,3.6582,1.00879,3.1153,1.27554,3.56,1.09
507,696,3,0.22413793103448276,0.5028735632183908,0.2705423619366277,0.22869380389674485,0.05789884520743516,8.622426528682694e-5,696,Significant,Strong (>0.15),Strong positive,NA,NA,3.9454,1.4273,3.9713,1.59048,3.98,1.43
787,611,3,0.1783960720130933,0.4369885433715221,0.25631070706674564,0.17869332849656722,0.06007335425837048,0.0030508047360111867,611,Significant,Strong (>0.15),Strong positive,NA,NA,NA,NA,NA,NA,NA,NA
886,575,3,0.09043478260869565,0.3234782608695652,0.2359576952215214,0.1141359781330402,0.05050148988560691,0.02419526492797664,575,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,5.7519,1.52861,5.7982,1.76492,5.73,1.56
966,1623,3,0.08441158348736907,0.5097042513863216,0.2802694428003368,-0.003429007807706196,0.024982625788931154,0.8908457722916331,1623,Not Significant,Negative,Not significant,NA,NA,5.0389,1.47453,5.2474,1.84454,5.04,1.46
971,935,3,0.12620320855614972,0.4505347593582888,0.2913358669781732,0.18804798111314802,0.036815046708658324,3.952712387131036e-7,935,Significant,Strong (>0.15),Strong positive,NA,NA,5.7865,1.31423,5.8034,1.55012,5.84,1.28
972,756,3,0.12433862433862433,0.46064814814814814,0.2637397432986572,0.12372715370038362,0.045179887529596466,0.006317579597258774,756,Significant,Moderate (0.05-0.15),Moderate positive,NA,NA,4.8115,1.22413,4.5139,1.279,4.81,1.12
974,1320,3,0.12348484848484849,0.5162878787878787,0.27034335089625183,0.16993466046996566,0.03350156295872767,4.490129615026023e-7,1320,Significant,Strong (>0.15),Strong positive,NA,NA,5.8949,1.40789,5.9612,1.54596,5.91,1.39
