fold,r2_demo,r2_agency,improvement
1,0.008465571981187914,0.017835858043194763,0.00937028606200685
2,0.0063535465077507736,0.01695215369135561,0.010598607183604836
3,0.007984341830400865,0.019507116473580166,0.011522774643179301
4,0.006758087777075872,0.014154862741719842,0.007396774964643971
5,0.009130405819545162,0.01879262422706396,0.009662218407518797
