Age_Group,Coefficient,p_value,N
18-24,7.85978539810269e-4,0.813905575220723,196148
25-30,0.020337678761848638,1.2316943942259253e-6,174167
31-39,0.005965351200453248,0.08180561860007836,250936
40-49,0.0061102308058024885,0.03830496362356994,279108
50+,-0.001034873984974398,0.5591243948324032,407484
