Model,Coefficient,SE,t_stat,p_value,Significant,95% CI
Log-Log,-0.7008621121042403,0.5196973523139918,-1.3485966572344437,0.17844463764418025,No,"[-1.7195, 0.3177]"
Linear,-5.555115642651804,3.675758549612222,-1.5112841520120646,0.13172821537183174,No,"[-12.7596, 1.6494]"
