Subgroup,Coefficient,p_value,Significant
Males,0.003066690708023015,0.12162048600290502,FALSE
Females,0.004152605151920093,0.011257338144502676,TRUE
Female×DiD,-0.011419364177959189,3.7344530497146565e-13,TRUE
