time,time_label,coef,se,ci_lower,ci_upper,p_value
-4,-4+,0.015432341800480306,0.007194206044681848,0.001331697952903884,0.029532985648056728,0.03194497453785805
-3,-3,-0.016615383156692393,0.005885432144491547,-0.028150830159895824,-0.005079936153488961,0.004755886551244004
-2,-2,-0.016536258958608597,0.004753314206494316,-0.025852754803337458,-0.007219763113879738,5.035553761223385e-4
-1,-1,0,0,0,0,1
0,0,-0.03936185028893064,0.005975217230605537,-0.051073276060917494,-0.027650424516943786,4.4786610238238016e-11
1,+1,-0.02521776324853229,0.005244610159378698,-0.03549719916091454,-0.014938327336150041,1.5226680558950444e-6
2,+2,-0.011523326845449091,0.0071834681603466675,-0.025602924439728558,0.0025562707488303773,0.10868292103861234
3,+3,-0.07256438651078863,0.008524810272813715,-0.08927301464550351,-0.05585575837607375,1.7140623463127393e-17
4,+4+,-0.04951474416389137,0.008974442952148257,-0.06710465235010196,-0.03192483597768079,3.444779179356781e-8
