Model,Coefficient,SE,p_value,Significant
1. Basic DiD,0.0018879473457709419,0.0015521463498549236,0.2238533384959553,No
2. DiD + Controls,NA,NA,NA,NA
3. DiD Log-Log,0.001308625379761617,0.0010758658662183506,0.22385333849777567,No
4. DiD × Agency,0.09025627090814362,0.0030919568925965035,3.0364224904860804e-187,Yes
