Model,Coefficient,SE,p_value,Significant
1. Basic DiD,NA,NA,NA,NA
2. DiD + Controls,0.2993957275013665,0.6919464150181711,0.6654812469349493,No
3. DiD Log-Log,NA,NA,NA,NA
4. DiD × Agency,1.4034426928474164,3.8879181005874557,0.7183093796945893,No
